Firstname,Lastname,Id,Rater,ImageNo,Case,Date,Dice,Jaccard,Positive Predictive Value,Sensitivity,AverageDistance,HausdorffDistance,Kappa,Region,IsSimulated
Paul,Yushkevich,132505,artem,15266,210,9/29/16,0.927161,0.864212,0.872737,0.988824,-1,-1,0.99707,1,FALSE
Paul,Yushkevich,132505,artem,15266,210,9/29/16,0.762116,0.615661,0.618328,0.993043,-1,-1,0.994148,2,FALSE
Paul,Yushkevich,132505,artem,15266,210,9/29/16,0.794236,0.658699,0.737365,0.860613,-1,-1,0.99768,3,FALSE
Paul,Yushkevich,132503,artem,15262,209,9/29/16,0.91548,0.844133,0.877938,0.956376,-1,-1,0.99709,1,FALSE
Paul,Yushkevich,132503,artem,15262,209,9/29/16,0.926302,0.862721,0.879533,0.978324,-1,-1,0.998295,2,FALSE
Paul,Yushkevich,132503,artem,15262,209,9/29/16,0.853377,0.744253,0.806914,0.905517,-1,-1,0.997667,3,FALSE
Paul,Yushkevich,166568,joel,15262,209,3/22/17,0.911811,0.837916,0.864485,0.964619,-1,-1,0.996925,1,FALSE
Paul,Yushkevich,166568,joel,15262,209,3/22/17,0.903693,0.824307,0.848743,0.966251,-1,-1,0.997745,2,FALSE
Paul,Yushkevich,166568,joel,15262,209,3/22/17,0.836008,0.718226,0.8106,0.863062,-1,-1,0.997461,3,FALSE
Paul,Yushkevich,166914,eric,15262,209,3/22/17,0.92315,0.857268,0.884326,0.965539,-1,-1,0.997351,1,FALSE
Paul,Yushkevich,166914,eric,15262,209,3/22/17,0.885461,0.794464,0.809491,0.977168,-1,-1,0.997232,2,FALSE
Paul,Yushkevich,166914,eric,15262,209,3/22/17,0.86778,0.76644,0.80843,0.936534,-1,-1,0.99786,3,FALSE
Paul,Yushkevich,166934,suyash,15262,209,3/22/17,0.911878,0.83803,0.865459,0.963559,-1,-1,0.996931,1,FALSE
Paul,Yushkevich,166934,suyash,15262,209,3/22/17,0.836462,0.718895,0.737667,0.965813,-1,-1,0.995865,2,FALSE
Paul,Yushkevich,166934,suyash,15262,209,3/22/17,0.795687,0.660698,0.834729,0.760134,-1,-1,0.997073,3,FALSE
Paul,Yushkevich,167319,joel,15262,209,3/24/17,0.911811,0.837916,0.864485,0.964619,-1,-1,0.996925,1,FALSE
Paul,Yushkevich,167319,joel,15262,209,3/24/17,0.903693,0.824307,0.848743,0.966251,-1,-1,0.997745,2,FALSE
Paul,Yushkevich,167319,joel,15262,209,3/24/17,0.836008,0.718226,0.8106,0.863062,-1,-1,0.997461,3,FALSE
Paul,Yushkevich,177557,joel,15262,209,4/25/17,0.911811,0.837916,0.864485,0.964619,-1,-1,0.996925,1,FALSE
Paul,Yushkevich,177557,joel,15262,209,4/25/17,0.903693,0.824307,0.848743,0.966251,-1,-1,0.997745,2,FALSE
Paul,Yushkevich,177557,joel,15262,209,4/25/17,0.836008,0.718226,0.8106,0.863062,-1,-1,0.997461,3,FALSE
Paul,Yushkevich,132501,artem,15258,208,9/29/16,0.925493,0.861318,0.895188,0.957921,-1,-1,0.997133,1,FALSE
Paul,Yushkevich,132501,artem,15258,208,9/29/16,0.821709,0.697374,0.743298,0.918615,-1,-1,0.9979,2,FALSE
Paul,Yushkevich,132501,artem,15258,208,9/29/16,0.869477,0.769092,0.89908,0.841761,-1,-1,0.999015,3,FALSE
Paul,Yushkevich,132502,artem,15254,207,9/29/16,0.934109,0.876365,0.902865,0.967593,-1,-1,0.998087,1,FALSE
Paul,Yushkevich,132502,artem,15254,207,9/29/16,0.736982,0.583508,0.583558,0.999854,-1,-1,0.997387,2,FALSE
Paul,Yushkevich,132502,artem,15254,207,9/29/16,0.73883,0.585829,0.620133,0.913723,-1,-1,0.998427,3,FALSE
Paul,Yushkevich,166549,joel,15254,207,3/22/17,0.963509,0.929588,0.969043,0.958038,-1,-1,0.998983,1,FALSE
Paul,Yushkevich,166549,joel,15254,207,3/22/17,0.693443,0.530741,0.536307,0.980821,-1,-1,0.996825,2,FALSE
Paul,Yushkevich,166549,joel,15254,207,3/22/17,0.813504,0.685636,0.773847,0.857445,-1,-1,0.999043,3,FALSE
Paul,Yushkevich,166915,eric,15254,207,3/22/17,0.940262,0.887258,0.905318,0.97801,-1,-1,0.998259,1,FALSE
Paul,Yushkevich,166915,eric,15254,207,3/22/17,0.494228,0.328222,0.330658,0.978053,-1,-1,0.99267,2,FALSE
Paul,Yushkevich,166915,eric,15254,207,3/22/17,0.788534,0.650892,0.820485,0.758978,-1,-1,0.999009,3,FALSE
Paul,Yushkevich,166933,suyash,15254,207,3/22/17,0.915811,0.844696,0.857665,0.982413,-1,-1,0.997469,1,FALSE
