Complete.All,Complete.LG,Complete.HG,Core.All,Core.LG,Core.HG,Enh.HG,Enh.All
68,49,74,48,30,54,57,57
57,19,71,42,8,54,45,45
68,60,71,51,41,55,39,39
74,63,78,44,41,45,42,42
62,24,77,50,33,56,61,61
62,55,65,32,34,31,42,42
74,71,75,65,59,67,49,49
72,55,78,57,40,63,59,59
69,46,77,50,36,55,57,57
78,81,76,58,58,59,54,54
69,48,77,33,9,42,53,53
70,52,77,47,39,50,55,55
74,,74,50,,50,58,58
30,28,31,17,22,15,5,5
75,55,82,70,54,75,59,59
44,24,51,28,11,34,41,41
75,68,78,55,42,60,52,52
82,78,84,66,60,68,49,49
76,67,79,51,42,55,52,52
75,62,80,47,33,52,56,56
