Case,Grade,Rater1,Rater2,Region,Dice
116,HG,R1,R2,Complete,0.8998474
117,HG,R1,R2,Complete,0.87353676
119,HG,R1,R2,Complete,0.93887235
120,HG,R1,R2,Complete,0.92233092
130,HG,R1,R2,Complete,0.92009735
131,HG,R1,R2,Complete,0.90235407
133,HG,R1,R2,Complete,0.92085019
134,HG,R1,R2,Complete,0.93653438
135,HG,R1,R2,Complete,0.91352754
136,HG,R1,R2,Complete,0.94823463
137,HG,R1,R2,Complete,0.84484567
LG103,LG,R1,R2,Complete,0.8356762
LG105,LG,R1,R2,Complete,0.74077491
LG109,LG,R1,R2,Complete,0.94244946
LG116,LG,R1,R2,Complete,0.58427283
116,HG,R1,R2,Core,0.88249804
117,HG,R1,R2,Core,0.84494774
119,HG,R1,R2,Core,0.94805275
120,HG,R1,R2,Core,0.93286464
130,HG,R1,R2,Core,0.93627924
131,HG,R1,R2,Core,0.92469923
133,HG,R1,R2,Core,0.92472367
134,HG,R1,R2,Core,0.94877326
135,HG,R1,R2,Core,0.91860996
136,HG,R1,R2,Core,0.86510822
137,HG,R1,R2,Core,0.84484567
LG103,LG,R1,R2,Core,0.90332147
LG105,LG,R1,R2,Core,0.23071625
LG109,LG,R1,R2,Core,0.95009649
LG116,LG,R1,R2,Core,0.58427283
116,HG,R1,R2,Enh,0.82370747
117,HG,R1,R2,Enh,0.63953488
119,HG,R1,R2,Enh,0.81231231
120,HG,R1,R2,Enh,0.91776406
130,HG,R1,R2,Enh,NA
131,HG,R1,R2,Enh,0.77324566
133,HG,R1,R2,Enh,0.79388862
134,HG,R1,R2,Enh,0.7775517
135,HG,R1,R2,Enh,0.88288171
136,HG,R1,R2,Enh,0.56605284
137,HG,R1,R2,Enh,0.71129929
LG103,LG,R1,R2,Enh,NA
LG105,LG,R1,R2,Enh,NA
LG109,LG,R1,R2,Enh,NA
LG116,LG,R1,R2,Enh,NA
116,HG,R1,R3,Complete,0.87639708
117,HG,R1,R3,Complete,0.83972176
119,HG,R1,R3,Complete,0.9033401
120,HG,R1,R3,Complete,0.79849646
130,HG,R1,R3,Complete,0.82966591
131,HG,R1,R3,Complete,0.7332054
133,HG,R1,R3,Complete,0.63396384
134,HG,R1,R3,Complete,0.9140382
135,HG,R1,R3,Complete,0.85200765
136,HG,R1,R3,Complete,0.90027561
137,HG,R1,R3,Complete,0.68637503
LG103,LG,R1,R3,Complete,0.62887448
LG105,LG,R1,R3,Complete,0.4846215
LG109,LG,R1,R3,Complete,0.89375997
LG116,LG,R1,R3,Complete,0.74387947
116,HG,R1,R3,Core,0.87433345
117,HG,R1,R3,Core,0.17121137
119,HG,R1,R3,Core,0.9393299
120,HG,R1,R3,Core,0.72628176
130,HG,R1,R3,Core,0.90392738
131,HG,R1,R3,Core,0.76351243
133,HG,R1,R3,Core,0.78136356
134,HG,R1,R3,Core,0.92736065
135,HG,R1,R3,Core,0.84177188
136,HG,R1,R3,Core,0.76198246
137,HG,R1,R3,Core,0.63077385
LG103,LG,R1,R3,Core,0.77934105
LG105,LG,R1,R3,Core,NA
LG109,LG,R1,R3,Core,0.77432124
LG116,LG,R1,R3,Core,0.24059314
116,HG,R1,R3,Enh,0.69980732
117,HG,R1,R3,Enh,0.52173913
119,HG,R1,R3,Enh,0.81316835
120,HG,R1,R3,Enh,0.82237508
130,HG,R1,R3,Enh,NA
131,HG,R1,R3,Enh,0.75605864
133,HG,R1,R3,Enh,0.6611805
134,HG,R1,R3,Enh,0.62346754
135,HG,R1,R3,Enh,0.61187837
136,HG,R1,R3,Enh,0.16381392
137,HG,R1,R3,Enh,0.45785152
LG103,LG,R1,R3,Enh,NA
LG105,LG,R1,R3,Enh,NA
LG109,LG,R1,R3,Enh,NA
LG116,LG,R1,R3,Enh,NA
116,HG,R2,R3,Complete,0.85688696
117,HG,R2,R3,Complete,0.82880463
119,HG,R2,R3,Complete,0.90616025
120,HG,R2,R3,Complete,0.7872387
130,HG,R2,R3,Complete,0.81532863
131,HG,R2,R3,Complete,0.74163182
133,HG,R2,R3,Complete,0.63493993
134,HG,R2,R3,Complete,0.92201636
135,HG,R2,R3,Complete,0.86806629
136,HG,R2,R3,Complete,0.86710368
137,HG,R2,R3,Complete,0.70679475
LG103,LG,R2,R3,Complete,0.56307335
LG105,LG,R2,R3,Complete,0.52233542
LG109,LG,R2,R3,Complete,0.90448845
LG116,LG,R2,R3,Complete,0.61993856
116,HG,R2,R3,Core,0.90303184
117,HG,R2,R3,Core,0.18437061
119,HG,R2,R3,Core,0.92941027
120,HG,R2,R3,Core,0.74634326
130,HG,R2,R3,Core,0.92220172
131,HG,R2,R3,Core,0.77879137
133,HG,R2,R3,Core,0.75478736
134,HG,R2,R3,Core,0.92645322
135,HG,R2,R3,Core,0.80447544
136,HG,R2,R3,Core,0.78165576
137,HG,R2,R3,Core,0.62453522
LG103,LG,R2,R3,Core,0.79465717
LG105,LG,R2,R3,Core,NA
LG109,LG,R2,R3,Core,0.78470784
LG116,LG,R2,R3,Core,0.37412471
116,HG,R2,R3,Enh,0.73847475
117,HG,R2,R3,Enh,0.44930417
119,HG,R2,R3,Enh,0.79853556
120,HG,R2,R3,Enh,0.8004187
130,HG,R2,R3,Enh,0.80114746
131,HG,R2,R3,Enh,0.80826923
133,HG,R2,R3,Enh,0.63962753
134,HG,R2,R3,Enh,0.6393291
135,HG,R2,R3,Enh,0.61683136
136,HG,R2,R3,Enh,0.2814412
137,HG,R2,R3,Enh,0.65781963
LG103,LG,R2,R3,Enh,NA
LG105,LG,R2,R3,Enh,NA
LG109,LG,R2,R3,Enh,NA
LG116,LG,R2,R3,Enh,NA
