CASE,complete,core,enh
116,0.951734,0.68833,0.841744
117,0.933343,0.462867,NA
119,0.933557,0.847559,0.740433
120,0.923382,0.923446,0.878483
130,0.942836,0.839308,0.829478
131,0.915631,0.852645,0.780612
133,0.830296,0.86627,0.833247
134,0.917789,0.920834,0.754978
135,0.928618,0.809556,0.788269
136,0.907741,0.838088,0
137,0,0,0
201,0.884156,0.783435,0.812465
202,0.952522,0.904232,0.826297
203,0.936438,0.731673,0.872816
204,0.981613,0.928231,0.860256
205,0.930255,0.894123,0.788704
206,0.959388,0.951545,0.90905
207,0.926105,0.80726,0.801969
208,0.924496,0.649967,0.856566
209,0.939602,0.95146,0.870341
210,0.952498,0.921169,0.864631
